Date	P2912	P3254	P4762	P3416	P5110
25-Jan-14	2130	3180	1910	2140	1850
26-Jan-14	2000	2350	2780	3780	2280
27-Jan-14	1960	2020	2310	2930	2770
28-Jan-14	2770	2200	2250	3260	2630
31-Jan-14	1710	2410	2600	2350	2340
1-Feb-14	3630	3130	3160	3070	3220
2-Feb-14	3450	2740	2940	3330	2650
3-Feb-14	2190	2900	2870	1800	2580
4-Feb-14	3100	3270	2880	2180	3200
7-Feb-14	2950	2380	2330	1480	2530
8-Feb-14	2920	2070	1330	2980	2190
9-Feb-14	1860	2230	3420	3380	2910
10-Feb-14	3060	2800	2400	1770	2080
11-Feb-14	1910	2520	1730	1980	1920
14-Feb-14	2400	2650	1470	2210	2050
15-Feb-14	1580	2870	2230	2800	1540
16-Feb-14	2760	2150	3100	2110	2840
17-Feb-14	3310	1530	2530	1560	3580
18-Feb-14	2160	1930	2480	2400	1860
21-Feb-14	3040	2210	2850	2630	3730
22-Feb-14	2540	2840	1800	2330	1570
23-Feb-14	2880	2550	2790	2030	2600
24-Feb-14	1780	2680	2730	2240	1400
25-Feb-14	2750	2910	3330	2830	2120
28-Feb-14	2320	2540	2550	2510	2600
28-Feb-14	2630	1690	2050	2270	2040
1-Mar-14	3150	1990	1960	2440	3230
2-Mar-14	2530	2590	2390	3120	2090
3-Mar-14	2050	1640	2820	2360	2640
6-Mar-14	2420	2980	2350	2460	2540
7-Mar-14	2810	2720	2290	2620	2620
8-Mar-14	1810	1820	2640	2880	2420
9-Mar-14	1420	2570	2740	2220	3120
10-Mar-14	2840	1850	2620	1860	2370
13-Mar-14	2260	2080	2560	2130	2510
14-Mar-14	2710	2310	2570	2720	2380
15-Mar-14	2620	2960	1980	2420	2430
16-Mar-14	2600	2640	2900	2160	3700
17-Mar-14	1970	2780	2830	2340	2400
20-Mar-14	2490	3050	1490	2950	2670
21-Mar-14	2410	2290	2300	2260	2790
22-Mar-14	2390	1920	2170	2360	2610
23-Mar-14	2780	2120	2100	2520	2290
24-Mar-14	2270	2340	2110	2760	3050
27-Mar-14	2170	3010	2930	2450	2190
28-Mar-14	2150	2670	2440	2200	2060
29-Mar-14	2550	2820	2380	2370	2170
30-Mar-14	1990	2000	2730	3010	2980
31-Mar-14	1820	2660	1180	2630	2560
