Date	P2912	P3254	P4762	P3416	P5110
25-Jan-15	2740	3090	2560	2550	2370
26-Jan-15	2230	2240	2960	3620	1560
27-Jan-15	2130	2870	1980	2830	2760
28-Jan-15	2100	2570	2900	2580	2750
31-Jan-15	2510	2360	2830	2750	2430
01-Feb-15	1800	2860	3470	1820	2050
02-Feb-15	1370	2140	2580	2600	2700
03-Feb-15	3770	1500	2090	2710	1830
04-Feb-15	2230	3040	2010	2900	2280
07-Feb-15	3170	2210	2420	2130	2630
08-Feb-15	2290	2160	2180	2130	2160
09-Feb-15	2270	1590	3140	1620	2610
10-Feb-15	2890	3100	1630	2990	2260
11-Feb-15	2430	2650	2670	2630	2360
14-Feb-15	2760	1960	2200	2390	3110
15-Feb-15	3770	2150	2130	2550	2710
16-Feb-15	1840	1970	3590	2460	2640
17-Feb-15	2850	2650	2250	3380	2490
18-Feb-15	1260	2380	3330	1620	3010
21-Feb-15	2250	2150	3160	2020	2900
22-Feb-15	2700	2700	2050	2300	2130
23-Feb-15	2610	1930	2780	2250	2690
24-Feb-15	2880	1910	2650	1920	1910
25-Feb-15	2290	2110	2590	2160	2140
28-Feb-15	2750	2340	2600	2750	2000
1-Mar-15	2650	3010	2030	2440	2350
01-Mar-15	2630	2670	2940	2850	2430
02-Mar-15	2700	2120	2170	3100	2810
03-Mar-15	1220	2340	2540	2280	1960
06-Mar-15	3260	3010	3030	2960	2020
07-Mar-15	3200	2670	2860	3140	2310
08-Mar-15	2110	2810	2790	1550	2230
09-Mar-15	2990	3000	2740	2010	2060
10-Mar-15	2790	2250	2200	3210	2850
13-Mar-15	2770	1850	3180	2810	1720
14-Mar-15	1050	2080	3060	3050	2400
15-Mar-15	2650	2650	1970	2250	2930
16-Mar-15	2560	2590	3320	2560	2040
17-Mar-15	1400	2320	2610	2320	1750
20-Mar-15	2260	2070	2560	2490	3050
21-Mar-15	3230	2650	2960	3260	2470
22-Mar-15	3040	1810	2390	2410	2690
23-Mar-15	3000	3070	1690	2510	2700
24-Mar-15	1960	2770	1340	2670	2660
27-Mar-15	3380	2280	2480	2210	2790
28-Mar-15	3120	2920	2940	2890	2420
29-Mar-15	3080	2610	2440	2620	2240
30-Mar-15	2030	2750	2390	2790	2420
31-Mar-15	2900	3000	2740	2010	1480
