Date	P5110	P7417	P3254	P2913
25-Jan-15	2830	3210	2580	2710
26-Jan-15	2400	2330	3110	3860
27-Jan-15	2160	3040	2150	2960
28-Jan-15	2210	2580	3110	2830
31-Jan-15	2570	2500	3070	2840
1-Feb-15	2030	2870	3700	1860
2-Feb-15	1500	2350	2670	2680
3-Feb-15	3810	1630	2320	2900
4-Feb-15	2370	3230	2230	3100
7-Feb-15	3180	2340	2610	2150
8-Feb-15	2390	2370	2320	2250
9-Feb-15	2340	1730	3270	1770
10-Feb-15	3040	3140	1830	3120
11-Feb-15	2580	2850	2820	2830
14-Feb-15	2820	2190	2370	2420
15-Feb-15	3880	2290	2360	2580
16-Feb-15	1860	2140	3780	2550
17-Feb-15	2910	2700	2430	3480
18-Feb-15	1450	2580	3570	1770
21-Feb-15	2250	2260	3180	2100
22-Feb-15	2750	2830	2290	2310
23-Feb-15	2840	2180	2890	2290
24-Feb-15	3070	1990	2720	2100
25-Feb-15	2450	2120	2810	2290
28-Feb-15	2970	2420	2670	2970
1-Mar-15	2660	3110	2220	2670
1-Mar-15	2810	2750	3110	2920
2-Mar-15	2870	2300	2220	3120
3-Mar-15	1320	2490	2700	2410
6-Mar-15	3420	3120	3110	3120
7-Mar-15	3200	2690	2930	3280
8-Mar-15	2180	2830	2970	1740
9-Mar-15	3040	3200	2920	2180
10-Mar-15	3020	2340	2290	3380
13-Mar-15	2830	1870	3250	3020
14-Mar-15	1080	2250	3230	3060
15-Mar-15	2670	2800	2090	2430
16-Mar-15	2810	2680	3480	2780
17-Mar-15	1520	2540	2820	2460
20-Mar-15	2280	2200	2730	2730
21-Mar-15	3260	2710	3050	3340
22-Mar-15	3270	1860	2560	2450
23-Mar-15	3090	3180	1780	2550
24-Mar-15	2160	3020	1500	2740
27-Mar-15	3390	2450	2650	2330
28-Mar-15	3170	2990	3170	3010
29-Mar-15	3120	2710	2520	2750
30-Mar-15	2080	2860	2420	3020
31-Mar-15	2920	3100	2760	2110
