Date	P3254	P7417	P3416
3-Apr-15	2880	2120	2310
4-Apr-15	1790	2280	2250
5-Apr-15	2750	2830	2610
6-Apr-15	2320	2110	3170
7-Apr-15	2640	1070	2560
10-Apr-15	3160	3000	2510
11-Apr-15	2170	2180	2890
12-Apr-15	2060	2800	1880
13-Apr-15	2020	2520	1380
14-Apr-15	2810	2650	3440
17-Apr-15	1810	2870	3510
18-Apr-15	1440	2150	2590
19-Apr-15	4140	1540	2100
20-Apr-15	2580	1940	2020
21-Apr-15	3180	2210	2420
24-Apr-15	3010	2840	2860
25-Apr-15	2970	2550	2720
26-Apr-15	1930	2680	2660
27-Apr-15	2830	2910	2670
28-Apr-15	2730	2190	2120
1-May-15	2700	1690	3060
2-May-15	3360	1990	2970
3-May-15	2590	2590	1850
4-May-15	2510	1650	2400
5-May-15	2480	2980	1740
8-May-15	2900	2720	1480
9-May-15	2380	1820	2230
10-May-15	2280	2570	3100
11-May-15	2260	2300	2180
12-May-15	2310	3190	2110
15-May-15	3410	2290	2490
16-May-15	3130	2930	2950
17-May-15	3090	2620	2440
18-May-15	2040	2750	2390
19-May-15	2910	3010	2740
22-May-15	2800	2260	1370
23-May-15	2770	1870	3200
24-May-15	1290	2090	3080
25-May-15	2660	2320	3100
26-May-15	2570	2980	2470
29-May-15	2550	2650	1900
30-May-15	2990	2790	1770
31-May-15	2440	3070	2300
1-Jun-15	2350	2640	2720
2-Jun-15	2330	2370	2600
5-Jun-15	2710	2130	2540
6-Jun-15	2210	2690	2550
7-Jun-15	3310	1920	1940
8-Jun-15	2070	3160	2870
9-Jun-15	2490	2830	2810
