Date	P3254	P7417	P3416
28-Jul-15	1660	1680	2060
29-Jul-15	1480	1230	1580
30-Jul-15	1840	1540	1610
31-Jul-15	1530	1610	1510
03-Aug-15	1270	1130	1150
04-Aug-15	1030	1250	1680
05-Aug-15	1590	1680	1450
06-Aug-15	1780	1570	1830
07-Aug-15	1090	1210	1770
10-Aug-15	1450	1830	1500
11-Aug-15	1330	1250	1740
12-Aug-15	1390	1240	1780
13-Aug-15	1360	1310	1450
14-Aug-15	1340	1350	1570
17-Aug-15	1590	1710	1400
18-Aug-15	1810	1500	1670
19-Aug-15	1470	1530	1790
20-Aug-15	1220	1730	1490
21-Aug-15	1450	1450	1430
24-Aug-15	1480	1320	2040
25-Aug-15	1280	1620	1350
26-Aug-15	1840	1370	1410
27-Aug-15	1440	1350	1610
28-Aug-15	1380	1710	1530
31-Aug-15	1480	1360	1570
01-Sep-15	1480	1380	1520
02-Sep-15	1630	1760	1750
03-Sep-15	1580	1440	1770
04-Sep-15	1420	1540	1710
07-Sep-15	1500	1690	1530
08-Sep-15	1570	1280	1770
09-Sep-15	1720	1630	1240
10-Sep-15	1150	1490	1750
11-Sep-15	1540	1600	1560
14-Sep-15	1700	1760	1320
15-Sep-15	1550	1560	1670
16-Sep-15	2060	1750	1480
17-Sep-15	1640	1270	1510
18-Sep-15	1740	1650	1540
21-Sep-15	1320	1420	1430
22-Sep-15	1410	1460	1280
23-Sep-15	1490	1570	1340
24-Sep-15	1480	1470	1640
25-Sep-15	1690	1740	1620
28-Sep-15	1330	1500	1420
29-Sep-15	1160	1600	1630
30-Sep-15	1280	1600	1650
