Date	P3254	P7417	P3416
25-Jan-14	1960	2710	1850
26-Jan-14	2290	2640	2170
27-Jan-14	2610	2270	2370
28-Jan-14	3130	2720	2650
31-Jan-14	2500	2610	2540
01-Feb-14	3430	2360	3040
02-Feb-14	3480	3140	1920
03-Feb-14	2050	2460	3100
04-Feb-14	3170	1840	2210
07-Feb-14	2050	2830	1680
08-Feb-14	2390	2920	2020
09-Feb-14	1320	2930	2390
10-Feb-14	2060	2360	1700
11-Feb-14	1670	2930	2550
14-Feb-14	1740	2490	2810
15-Feb-14	1330	2700	3640
16-Feb-14	2080	2210	2880
17-Feb-14	2560	2500	2350
18-Feb-14	2810	2730	1900
21-Feb-14	2540	1280	1910
22-Feb-14	1660	2190	2280
23-Feb-14	2650	1550	1710
24-Feb-14	2140	2670	2540
25-Feb-14	1850	2370	2850
28-Feb-14	1970	2520	2380
28-Feb-14	2090	2940	3600
01-Mar-14	3870	3410	1730
02-Mar-14	2870	2680	2880
03-Mar-14	2320	2640	2620
06-Mar-14	2360	2450	2520
07-Mar-14	2310	2990	1930
08-Mar-14	3570	2730	2280
09-Mar-14	2340	2870	2270
10-Mar-14	2380	2730	3070
13-Mar-14	2200	2540	2220
14-Mar-14	1540	2560	3530
15-Mar-14	3220	2460	1880
16-Mar-14	2430	2030	2170
17-Mar-14	2840	2170	2470
20-Mar-14	2310	2770	2690
21-Mar-14	1820	2510	3540
22-Mar-14	2970	2840	3510
23-Mar-14	2250	2610	1070
24-Mar-14	2860	3300	1990
27-Mar-14	1690	2650	2700
28-Mar-14	2210	2720	2870
29-Mar-14	3230	2800	2290
30-Mar-14	2510	2520	2480
31-Mar-14	2600	1540	2000
