Date	P2912	P3254	P4762	P3416	P5110
18-Jul-14	1600	1340	1490	1660	1050
19-Jul-14	1720	1780	1640	1360	1390
20-Jul-14	1660	1440	1220	2070	1050
21-Jul-14	1650	1310	1950	1680	1360
24-Jul-14	1210	1380	1820	1810	1560
25-Jul-14	1600	1460	1830	1440	1510
26-Jul-14	1560	1760	1520	1730	1530
27-Jul-14	1550	1610	1340	1940	1250
28-Jul-14	1810	1680	1310	1260	1520
31-Jul-14	1530	1880	1470	1530	1640
1-Aug-14	1490	1610	1650	1180	1700
2-Aug-14	1480	1500	1590	1720	1500
3-Aug-14	1270	1560	1680	1800	1370
4-Aug-14	1710	1220	1450	1600	1650
7-Aug-14	1700	1720	1170	1500	1320
8-Aug-14	1450	1870	990	1570	1250
9-Aug-14	1640	1270	1380	1210	1310
10-Aug-14	1600	1550	1550	1540	1630
11-Aug-14	1590	1450	1510	1580	1480
14-Aug-14	1910	1500	1490	1660	1610
15-Aug-14	1550	1580	1490	1870	1240
16-Aug-14	1510	1260	1220	1620	1980
17-Aug-14	1510	1760	1620	1520	1120
18-Aug-14	1680	1020	1590	1590	1400
21-Aug-14	1460	1890	1500	1580	1050
22-Aug-14	1760	1470	1690	1460	1350
23-Aug-14	1740	1350	1480	1360	1400
24-Aug-14	1320	1200	1460	1430	1320
25-Aug-14	1670	1490	1600	1670	1790
28-Aug-14	1620	1840	1390	1400	1320
29-Aug-14	1610	1640	1820	1450	1720
30-Aug-14	1140	1550	1760	1510	1410
31-Aug-14	1580	1090	1310	1880	1450
1-Sep-14	1540	1490	1500	1480	1870
4-Sep-14	1530	1380	1280	1380	1600
5-Sep-14	1720	1440	1240	1450	1790
6-Sep-14	1650	1690	1590	1290	1400
7-Sep-14	1610	1400	2010	1770	1330
8-Sep-14	1600	1230	1760	1620	1360
11-Sep-14	1970	1320	1710	1710	1510
12-Sep-14	1550	1420	1720	1400	1350
13-Sep-14	1530	1690	1480	1670	1470
14-Sep-14	1520	1560	1260	1740	1510
15-Sep-14	1690	1610	1200	1040	1440
18-Sep-14	1470	1720	1420	1480	1280
19-Sep-14	1440	1550	1340	1500	1290
20-Sep-14	1770	1810	1270	1400	1530
21-Sep-14	1340	1650	1220	1470	1630
22-Sep-14	1690	1330	1230	1740	1670
25-Sep-14	1500	1590	1590	1570	1440
26-Sep-14	1630	1480	1190	1330	1240
27-Sep-14	1650	1120	1070	1410	1410
28-Sep-14	1450	1470	1390	1650	1610
29-Sep-14	1190	1780	1560	1370	1560
