Date	P3254	P7417	P3416
18-Jul-14	2530	2760	1910
19-Jul-14	2780	2730	2780
20-Jul-14	2880	2120	2310
21-Jul-14	2310	2490	2250
24-Jul-14	1780	2270	2600
25-Jul-14	2910	1860	3160
26-Jul-14	2030	2120	2940
27-Jul-14	1740	2560	2870
28-Jul-14	2990	2760	2880
31-Jul-14	2360	1630	2330
1-Aug-14	1820	2480	1330
2-Aug-14	1560	1910	3420
3-Aug-14	2450	1900	2400
4-Aug-14	3120	2220	1730
7-Aug-14	1870	3220	1470
8-Aug-14	2070	2360	2230
9-Aug-14	1730	1700	3100
10-Aug-14	2940	2940	2530
11-Aug-14	2290	2500	2480
14-Aug-14	2820	2210	2850
15-Aug-14	2700	2180	1800
16-Aug-14	2800	1750	2790
17-Aug-14	2240	1320	2730
18-Aug-14	3370	3000	3330
21-Aug-14	2070	1950	2550
22-Aug-14	2590	2180	2050
23-Aug-14	2460	2600	1960
24-Aug-14	2510	2810	2390
25-Aug-14	1720	1790	2820
28-Aug-14	2490	2520	2350
29-Aug-14	2760	1990	2290
30-Aug-14	2900	2310	2640
31-Aug-14	2700	2210	2740
1-Sep-14	2380	2880	2620
4-Sep-14	3240	2800	2560
5-Sep-14	2290	2150	2570
6-Sep-14	2170	2120	1980
7-Sep-14	2260	2890	2900
8-Sep-14	2690	2900	2830
11-Sep-14	2340	3100	1490
12-Sep-14	2640	3190	2300
13-Sep-14	3610	1630	2170
14-Sep-14	3090	2320	2100
15-Sep-14	3200	2510	2110
18-Sep-14	2090	1920	2930
19-Sep-14	3140	2230	2440
20-Sep-14	1890	3110	2380
21-Sep-14	1990	2310	2730
22-Sep-14	1500	1420	1180
25-Sep-14	2870	2510	2690
26-Sep-14	1560	2450	2630
27-Sep-14	2760	3500	3080
28-Sep-14	2650	3350	2460
29-Sep-14	2740	2860	1880
