Date	P3254	P7417	P3416
2-Oct-14	2180	1580	1740
3-Oct-14	3570	3050	2290
4-Oct-14	2110	2010	2710
5-Oct-14	2630	2500	2240
6-Oct-14	3480	1820	2180
9-Oct-14	1390	2140	2540
10-Oct-14	2240	2610	3040
11-Oct-14	3820	1510	2260
12-Oct-14	2090	2370	2190
13-Oct-14	2230	3040	2210
16-Oct-14	2010	2530	3060
17-Oct-14	3170	2210	2510
18-Oct-14	2020	3430	2460
19-Oct-14	2600	2840	2820
20-Oct-14	2850	2800	1740
23-Oct-14	2970	2550	3450
24-Oct-14	2630	2830	3230
25-Oct-14	2280	2600	3260
26-Oct-14	2580	3070	2530
27-Oct-14	3290	3830	2020
30-Oct-14	2990	2260	1920
31-Oct-14	2640	2460	2370
1-Nov-14	2000	2940	2800
2-Nov-14	3030	2170	2330
3-Nov-14	2920	3110	2270
6-Nov-14	2000	2310	2620
7-Nov-14	2140	2490	2050
8-Nov-14	2160	3590	2970
9-Nov-14	2510	3270	2890
10-Nov-14	3180	2440	1710
13-Nov-14	1860	2420	2350
14-Nov-14	2010	2150	1490
15-Nov-14	2820	2160	3520
16-Nov-14	2450	2300	2170
17-Nov-14	2760	2680	3000
20-Nov-14	1790	2500	2480
21-Nov-14	3440	2950	2430
22-Nov-14	2830	3430	2800
23-Nov-14	2230	2600	1690
24-Nov-14	3700	2840	2750
27-Nov-14	3260	2300	2690
28-Nov-14	2150	2940	3220
29-Nov-14	3010	2470	2160
30-Nov-14	3040	3400	1990
1-Dec-14	1910	3200	1890
