Date	P2912	P3254	P4762	P3416	P5110
2-Oct-14	1400	1610	1370	1420	1440
3-Oct-14	1560	1670	1340	1490	1800
4-Oct-14	1350	1860	1490	1780	1570
5-Oct-14	1750	1470	1210	1450	1280
6-Oct-14	1280	1380	1650	1390	1500
9-Oct-14	1500	1440	1630	1590	1230
10-Oct-14	1260	1520	1030	1710	1250
11-Oct-14	1660	1010	1410	1560	1430
12-Oct-14	1130	1660	1890	1460	1650
13-Oct-14	1730	1470	1490	1250	1840
16-Oct-14	1500	1550	1640	1530	1090
17-Oct-14	1300	1410	1420	1400	1550
18-Oct-14	1450	1710	1930	1270	1410
19-Oct-14	1610	1840	1810	1370	1530
20-Oct-14	1410	1440	1340	1600	1800
23-Oct-14	1960	1550	1390	1810	1690
24-Oct-14	1930	1440	1790	1070	1420
25-Oct-14	1390	1340	1740	1290	1760
26-Oct-14	1570	1570	1300	1410	1550
27-Oct-14	1530	1250	1490	1230	1520
30-Oct-14	1520	1750	1440	1750	1760
31-Oct-14	1260	1670	1300	1700	1500
1-Nov-14	1380	1850	1310	1380	1510
2-Nov-14	1340	1470	1640	1160	1650
3-Nov-14	1320	1340	1450	1710	1320
6-Nov-14	1640	1410	1430	1930	1430
7-Nov-14	1250	1490	1570	1460	1460
8-Nov-14	1660	1600	1610	1590	1440
9-Nov-14	1650	1490	1560	1640	1250
10-Nov-14	1210	1540	1540	1740	1420
13-Nov-14	1600	1630	1540	1190	1620
14-Nov-14	1560	1340	1310	1680	1560
15-Nov-14	1550	1530	1440	1330	1440
16-Nov-14	1480	1580	1410	1410	1800
17-Nov-14	1220	1220	1550	1650	1570
20-Nov-14	1050	1530	1800	1520	1540
21-Nov-14	2020	1420	1540	1420	1800
22-Nov-14	1390	1310	1510	1490	1530
23-Nov-14	1770	1550	1530	1580	1390
24-Nov-14	1550	1680	1280	1300	1690
27-Nov-14	1540	1550	1660	1360	1350
28-Nov-14	1730	1470	1630	1430	1290
29-Nov-14	1490	1710	1050	1680	1340
30-Nov-14	1460	1410	1420	1400	1180
1-Dec-14	1450	1260	1900	1260	1650
