Date	P2912	P3254	P4762	P3416	P5110
03-Apr-15	2790	2920	2490	2390	2190
04-Apr-15	2060	2610	2370	2120	2070
05-Apr-15	2490	2740	2320	2310	2500
06-Apr-15	1870	3000	2330	2910	2590
07-Apr-15	1600	2250	3350	2220	2660
10-Apr-15	1460	1850	2620	2330	2460
11-Apr-15	2260	2080	2570	2490	3310
12-Apr-15	3080	2240	2870	3100	2150
13-Apr-15	2940	1590	1850	2350	1850
14-Apr-15	2910	2960	1110	2070	2910
17-Apr-15	1840	2700	3380	2270	2430
18-Apr-15	2770	1790	3430	2860	2490
19-Apr-15	2340	2560	2250	2200	3100
20-Apr-15	2340	1810	3320	1830	2420
21-Apr-15	2720	3210	3160	2110	2530
24-Apr-15	2220	2300	2040	2710	2900
25-Apr-15	3340	2940	2510	2000	3610
26-Apr-15	2080	2620	1970	2140	2360
27-Apr-15	2500	2760	1610	2230	2690
28-Apr-15	1680	2900	2250	2820	2380
01-May-15	2790	2180	3150	2140	1960
02-May-15	3410	1650	2550	1670	2710
03-May-15	2190	1980	2500	2430	1840
04-May-15	3090	2240	2880	2650	2990
05-May-15	2560	2870	1850	2350	2340
08-May-15	2560	2250	2490	3300	1460
09-May-15	3010	2390	2430	1770	2310
10-May-15	2450	2580	2790	2520	1810
11-May-15	1930	2240	2250	2210	2010
12-May-15	2340	2960	3330	1830	2710
15-May-15	2730	3220	3170	2110	2010
16-May-15	2220	2300	2050	2710	2350
17-May-15	3350	2940	2510	1900	2190
18-May-15	2000	2570	1870	2070	2650
19-May-15	2450	2360	1730	2270	2580
22-May-15	2940	2940	2290	2500	3910
23-May-15	2820	2210	2710	2180	2400
24-May-15	2800	1760	2580	1770	3120
25-May-15	2220	2700	1320	2740	2820
26-May-15	1920	2940	1440	1940	2710
29-May-15	1710	2210	2640	3120	3110
30-May-15	1620	1750	2160	2770	2110
31-May-15	2630	2020	2090	2980	2500
01-Jun-15	3340	2270	2470	2200	3180
02-Jun-15	1820	3840	1270	3480	2730
05-Jun-15	1770	2890	3180	1690	2940
06-Jun-15	2330	3100	3060	2040	2190
07-Jun-15	3590	1620	3080	2320	2010
08-Jun-15	3190	2510	2460	1910	2810
09-Jun-15	3140	2230	1890	2390	2870
