Date	P5110	P7417	P3254	P2913
2-Oct-15	1620	1840	1390	1660
3-Oct-15	1650	1340	1770	1660
4-Oct-15	1670	1200	2020	1690
5-Oct-15	1790	1560	1500	1410
6-Oct-15	1530	1640	1740	1440
9-Oct-15	1460	1530	1730	1770
10-Oct-15	1390	1670	1760	1500
11-Oct-15	1570	1520	1410	1810
12-Oct-15	1110	1280	2070	1360
13-Oct-15	1870	1720	1670	1480
16-Oct-15	1630	1810	1990	1110
17-Oct-15	1360	1820	1600	1660
18-Oct-15	1610	1940	1560	1620
19-Oct-15	1350	1690	1770	2020
20-Oct-15	1520	1650	1840	1750
23-Oct-15	1520	1730	1490	1550
24-Oct-15	1680	1660	1690	1630
25-Oct-15	1690	1070	1520	1810
26-Oct-15	1590	2050	1990	1420
27-Oct-15	1810	1450	1250	1260
30-Oct-15	1440	1650	1730	1570
31-Oct-15	1300	1750	1430	1360
1-Nov-15	1690	1700	1440	1600
2-Nov-15	1890	2000	1840	1610
3-Nov-15	1710	1640	1610	1590
6-Nov-15	1230	1390	1540	1860
7-Nov-15	1390	1320	1530	1580
8-Nov-15	1520	1520	1910	1490
9-Nov-15	1920	1690	1460	1630
10-Nov-15	1810	1630	1580	1800
13-Nov-15	1710	1530	1590	2330
14-Nov-15	940	1690	1650	1830
15-Nov-15	1560	1880	1670	1980
16-Nov-15	1460	1670	2060	1590
17-Nov-15	1260	1470	1350	1730
20-Nov-15	1510	1630	1650	1600
21-Nov-15	1760	1220	1550	1630
22-Nov-15	1750	1820	1480	1370
23-Nov-15	1770	1820	1620	1490
24-Nov-15	1860	1730	1690	1620
27-Nov-15	1560	1540	1460	1460
28-Nov-15	2060	1340	1600	1540
29-Nov-15	1310	1390	1510	1380
30-Nov-15	1590	1290	1530	1730
1-Dec-15	1590	1540	1300	1760
4-Dec-15	1360	1370	1780	1420
5-Dec-15	1450	1140	2260	1750
6-Dec-15	1890	1400	1470	1650
7-Dec-15	1540	1790	1360	1760
8-Dec-15	1180	1960	1840	1680
