Date	P5110	P7417	P3254	P2913
18-Jul-14	1830	1430	1700	1740
19-Jul-14	1820	1840	1670	1580
20-Jul-14	1720	1600	1330	2150
21-Jul-14	1790	1550	2200	1910
24-Jul-14	1450	1600	1850	1890
25-Jul-14	1650	1510	1870	1570
26-Jul-14	1700	1990	1550	1750
27-Jul-14	1600	1750	1580	2000
28-Jul-14	1940	1840	1410	1430
31-Jul-14	1770	1930	1490	1590
1-Aug-14	1560	1640	1750	1250
2-Aug-14	1550	1500	1760	1970
3-Aug-14	1500	1620	1900	2010
4-Aug-14	1800	1290	1660	1640
7-Aug-14	1780	1720	1310	1550
8-Aug-14	1520	2010	1110	1590
9-Aug-14	1850	1500	1450	1260
10-Aug-14	1620	1630	1610	1630
11-Aug-14	1790	1610	1760	1720
14-Aug-14	2130	1600	1670	1680
15-Aug-14	1660	1640	1580	2060
16-Aug-14	1610	1400	1450	1830
17-Aug-14	1680	1760	1740	1740
18-Aug-14	1770	1190	1820	1700
21-Aug-14	1590	2070	1580	1820
22-Aug-14	1930	1540	1780	1650
23-Aug-14	1820	1470	1490	1580
24-Aug-14	1400	1370	1500	1490
25-Aug-14	1880	1600	1640	1880
28-Aug-14	1750	1960	1640	1480
29-Aug-14	1770	1730	1990	1670
30-Aug-14	1310	1550	1940	1740
31-Aug-14	1800	1340	1480	1950
1-Sep-14	1760	1540	1720	1590
4-Sep-14	1640	1520	1350	1420
5-Sep-14	1840	1520	1440	1530
6-Sep-14	1820	1820	1730	1440
7-Sep-14	1780	1500	2060	1890
8-Sep-14	1600	1290	1900	1690
11-Sep-14	2070	1400	1780	1900
12-Sep-14	1630	1520	1950	1600
13-Sep-14	1720	1890	1720	1800
14-Sep-14	1530	1600	1490	1910
15-Sep-14	1770	1810	1290	1210
18-Sep-14	1630	1850	1560	1630
19-Sep-14	1580	1740	1590	1660
20-Sep-14	2020	1910	1430	1530
21-Sep-14	1440	1750	1420	1560
22-Sep-14	1910	1490	1410	1900
25-Sep-14	1700	1720	1700	1770
26-Sep-14	1880	1690	1290	1370
27-Sep-14	1850	1330	1310	1410
28-Sep-14	1670	1490	1480	1790
29-Sep-14	1220	1990	1780	1380
