Date	P2912	P3254	P4762	P3416	P5110
3-Apr-14	1760	2390	2690	2390	2900
4-Apr-14	2330	2160	2630	2560	2020
5-Apr-14	3560	2720	3080	3650	1720
6-Apr-14	3180	1960	2460	2480	1860
7-Apr-14	3130	3220	1880	2580	2690
10-Apr-14	2070	2860	1740	2750	1800
11-Apr-14	2940	2050	2290	1950	2220
12-Apr-14	2830	2690	2710	2670	2350
13-Apr-14	2800	2420	2240	2430	2160
14-Apr-14	1520	2550	2180	2590	3820
17-Apr-14	2680	2750	2540	1410	2530
18-Apr-14	2590	2010	3040	2880	3230
19-Apr-14	2570	3330	2260	1950	3010
20-Apr-14	2380	2630	2190	2180	3170
21-Apr-14	1450	2840	2210	2770	2480
24-Apr-14	3320	2120	3060	2080	2100
25-Apr-14	3250	1350	2510	2210	2430
26-Apr-14	2130	1900	2460	2380	2970
27-Apr-14	3010	2190	2820	3030	2790
28-Apr-14	2880	1120	1740	2310	2850
1-May-14	2860	2900	3450	2000	1640
2-May-14	1720	2660	3230	2220	2820
3-May-14	2730	1660	3260	2810	3320
4-May-14	2300	2520	2530	2490	1620
5-May-14	2610	2240	2020	2250	3160
8-May-14	3110	1960	1920	2420	2700
9-May-14	2510	2570	2370	3080	3180
10-May-14	2030	1550	2800	2340	2610
11-May-14	2400	2950	2330	2440	2510
12-May-14	2790	3190	2270	2600	2590
15-May-14	2290	1770	2620	1510	1970
16-May-14	750	2550	2050	2520	3060
17-May-14	2160	2280	2970	2280	1870
18-May-14	2560	2410	2890	2800	2480
19-May-14	2010	2610	1710	3150	2340
22-May-14	2980	1690	2350	2710	2390
23-May-14	1790	3000	1490	2470	2860
24-May-14	2340	3290	3520	2630	2450
25-May-14	3710	1850	2170	1680	2720
26-May-14	2700	2980	3000	2940	2850
29-May-14	3160	2310	2480	2660	2660
30-May-14	2090	2440	2430	2840	2340
31-May-14	2960	3110	2800	2090	2670
1-Jun-14	2500	2320	1690	2770	1630
2-Jun-14	2840	1970	2750	2890	2120
5-Jun-14	1670	3540	2690	3170	2220
6-Jun-14	2370	2370	3220	1820	3050
7-Jun-14	2280	3060	2160	3020	2610
8-Jun-14	2260	2700	1990	2710	2960
9-Jun-14	3080	2850	1890	2900	2090
