Date	P5110	P7417	P3254	P2913
3-Apr-15	2860	3060	2650	2540
4-Apr-15	2100	2860	2390	2370
5-Apr-15	2710	2940	2320	2450
6-Apr-15	1960	3240	2560	2990
7-Apr-15	1710	2430	3520	2450
10-Apr-15	1540	1880	2860	2470
11-Apr-15	2340	2240	2760	2680
12-Apr-15	3080	2350	3030	3270
13-Apr-15	3070	1770	1970	2530
14-Apr-15	3150	3090	1200	2090
17-Apr-15	1860	2890	3540	2310
18-Apr-15	2900	2040	3450	3020
19-Apr-15	2400	2660	2490	2340
20-Apr-15	2350	2030	3440	2080
21-Apr-15	2900	3250	3250	2350
24-Apr-15	2220	2390	2290	2930
25-Apr-15	3470	2980	2700	2080
26-Apr-15	2090	2830	2010	2340
27-Apr-15	2590	2770	1690	2380
28-Apr-15	1810	3010	2360	2990
1-May-15	2880	2360	3340	2250
2-May-15	3580	1840	2720	1830
3-May-15	2250	2120	2730	2550
4-May-15	3320	2350	3110	2750
5-May-15	2750	2960	1910	2590
8-May-15	2730	2500	2680	3350
9-May-15	3220	2530	2460	1840
10-May-15	2620	2780	2920	2620
11-May-15	2100	2340	2410	2290
12-May-15	2540	3120	3490	2000
15-May-15	2750	3280	3370	2230
16-May-15	2250	2450	2240	2760
17-May-15	3590	3020	2750	2040
18-May-15	2050	2600	2100	2220
19-May-15	2650	2570	1840	2350
22-May-15	3020	3170	2300	2660
23-May-15	2890	2350	2710	2270
24-May-15	2820	1950	2580	1890
25-May-15	2450	2750	1450	2960
26-May-15	1980	3170	1520	2140
29-May-15	1790	2210	2760	3260
30-May-15	1860	1910	2270	2780
31-May-15	2680	2090	2290	3030
1-Jun-15	3420	2370	2510	2320
2-Jun-15	1960	3890	1460	3690
5-Jun-15	1770	2940	3290	1810
6-Jun-15	2500	3130	3270	2050
7-Jun-15	3750	1770	3290	2470
8-Jun-15	3320	2540	2560	2140
9-Jun-15	3360	2470	2000	2630
