Date	P5110	P7417	P3254	P2913
25-Jul-15	1700	1890	1710	1480
26-Jul-15	1970	1380	1470	1350
27-Jul-15	1610	1750	1780	1490
28-Jul-15	1390	1630	1720	1610
31-Jul-15	1430	1770	1550	1560
1-Aug-15	1820	1740	1720	1470
2-Aug-15	1400	1380	1510	1550
3-Aug-15	1910	1780	1830	1560
4-Aug-15	1230	1560	1600	1630
7-Aug-15	1820	1550	2210	1770
8-Aug-15	1490	1830	1770	1550
9-Aug-15	2040	1810	1650	1930
10-Aug-15	1230	1820	1510	1350
11-Aug-15	1270	1860	1610	1540
14-Aug-15	1760	1520	1560	1740
15-Aug-15	1740	1410	1800	1410
16-Aug-15	1310	1550	1660	1160
17-Aug-15	1720	2050	1500	1930
18-Aug-15	1390	1880	1400	1660
21-Aug-15	1610	1670	1550	1910
22-Aug-15	1760	1850	1780	1890
23-Aug-15	1250	1560	1720	1720
24-Aug-15	1770	2010	1360	1320
25-Aug-15	1810	1670	1500	1490
28-Aug-15	1880	2140	1750	1630
29-Aug-15	1390	1440	1470	1460
30-Aug-15	1250	1500	1490	1770
31-Aug-15	1410	1350	1720	1620
1-Sep-15	1460	1560	1690	1510
4-Sep-15	1630	1800	1580	1510
5-Sep-15	1620	1560	1510	1700
6-Sep-15	1810	1510	1600	1210
7-Sep-15	1200	1580	1850	2000
8-Sep-15	1640	1870	1580	2010
11-Sep-15	1450	1650	1550	1390
12-Sep-15	1890	1380	1440	1780
13-Sep-15	1480	1630	1590	1560
14-Sep-15	1830	1490	1480	1660
15-Sep-15	1670	1860	1440	1790
18-Sep-15	1550	1850	1510	1570
19-Sep-15	1760	2020	1780	1570
20-Sep-15	1580	1400	1480	1650
21-Sep-15	1400	2050	1480	1630
22-Sep-15	1370	1950	1460	1500
25-Sep-15	1630	1400	1720	1380
26-Sep-15	1780	1640	1620	1390
27-Sep-15	1630	1520	1450	1560
28-Sep-15	1680	1490	1650	1310
29-Sep-15	1790	1560	1850	1000
