Date	P3254	P7417	P3416
26-Jan-15	2150	2870	1870
27-Jan-15	2370	2790	2220
28-Jan-15	2650	2280	2540
29-Jan-15	3240	2850	2740
1-Feb-15	2710	2840	2570
2-Feb-15	3540	2510	3100
3-Feb-15	3550	3240	2030
4-Feb-15	2070	2530	3200
5-Feb-15	3380	2070	2450
8-Feb-15	2100	2920	1800
9-Feb-15	2590	3100	2140
10-Feb-15	1460	3140	2500
11-Feb-15	2290	2540	1830
12-Feb-15	1800	3120	2550
15-Feb-15	1900	2700	2820
16-Feb-15	1430	2780	3810
17-Feb-15	2150	2370	3000
18-Feb-15	2610	2650	2600
19-Feb-15	2950	2830	2070
22-Feb-15	2600	1390	2110
23-Feb-15	1870	2350	2500
24-Feb-15	2780	1670	1860
25-Feb-15	2380	2860	2550
26-Feb-15	1900	2550	3050
1-Mar-15	2000	2760	2470
2-Mar-15	2320	3180	3650
2-Mar-15	3920	3640	1770
3-Mar-15	2910	2800	2990
4-Mar-15	2370	2800	2740
7-Mar-15	2480	2600	2750
8-Mar-15	2360	3030	1980
9-Mar-15	3730	2820	2410
10-Mar-15	2420	2980	2430
11-Mar-15	2560	2940	3270
14-Mar-15	2400	2580	2230
15-Mar-15	1650	2650	3660
16-Mar-15	3360	2570	2040
17-Mar-15	2470	2160	2260
18-Mar-15	3020	2330	2630
21-Mar-15	2330	2950	2810
22-Mar-15	1860	2540	3630
23-Mar-15	3210	2920	3620
24-Mar-15	2280	2830	1250
25-Mar-15	3070	3350	2210
28-Mar-15	1790	2900	2710
29-Mar-15	2260	2910	2970
30-Mar-15	3390	3000	2380
31-Mar-15	2670	2700	2720
1-Apr-15	2810	1710	2060
