Date	P3254	P7417	P3416
01-Oct-15	1150	1360	1570
02-Oct-15	1760	1580	1450
05-Oct-15	1780	1390	1380
06-Oct-15	1680	1480	1660
07-Oct-15	1510	1550	1240
08-Oct-15	1550	1680	1610
09-Oct-15	1180	2090	1470
12-Oct-15	1710	1410	1310
13-Oct-15	1250	1410	1580
14-Oct-15	1810	1250	1720
15-Oct-15	1160	1500	1450
16-Oct-15	1870	950	1570
19-Oct-15	1070	1270	1380
20-Oct-15	1210	1590	1710
21-Oct-15	1720	1690	1800
22-Oct-15	1440	1500	1580
23-Oct-15	1350	1490	1480
26-Oct-15	1650	1700	1750
27-Oct-15	1630	1300	1470
28-Oct-15	1400	860	1580
29-Oct-15	1600	1240	1570
30-Oct-15	1620	2040	1800
02-Nov-15	1550	1710	1420
03-Nov-15	1420	1730	1140
04-Nov-15	1380	1680	1330
05-Nov-15	1670	1370	1550
06-Nov-15	1250	1420	1530
09-Nov-15	1470	1670	1490
10-Nov-15	1780	1550	1680
11-Nov-15	1790	1710	1210
12-Nov-15	1450	1600	1690
13-Nov-15	1720	1150	1500
16-Nov-15	1450	1860	2120
17-Nov-15	1560	1610	1210
18-Nov-15	1350	1100	1570
19-Nov-15	1520	1530	1510
20-Nov-15	1560	1410	1480
23-Nov-15	1550	1770	1460
24-Nov-15	1460	1620	1510
25-Nov-15	1540	1460	1760
26-Nov-15	1480	1520	1500
27-Nov-15	1290	1790	1410
30-Nov-15	1280	1850	1350
01-Dec-15	1460	1240	1230
02-Dec-15	1700	1700	1430
03-Dec-15	1520	1650	1400
04-Dec-15	1600	1390	1640
07-Dec-15	1240	1410	1250
08-Dec-15	1180	1280	1500
09-Dec-15	1470	1730	1530
10-Dec-15	1650	1740	1670
11-Dec-15	1120	1430	1440
