Date	P2912	P3254	P4762	P3416	P5110
02-Oct-15	1380	1790	1370	1490	1700
03-Oct-15	1530	1170	1680	1650	1250
04-Oct-15	1580	1010	1830	1440	1710
05-Oct-15	1670	1380	1450	1410	1550
06-Oct-15	1520	1550	1740	1400	1260
09-Oct-15	1410	1510	1610	1530	1520
10-Oct-15	1270	1460	1660	1310	1050
11-Oct-15	1520	1470	1350	1700	1530
12-Oct-15	1060	1100	1980	1230	1330
13-Oct-15	1670	1590	1670	1440	1520
16-Oct-15	1570	1560	1800	940	1370
17-Oct-15	1180	1750	1440	1450	1420
18-Oct-15	1370	1840	1550	1580	1700
19-Oct-15	1160	1550	1600	1830	1420
20-Oct-15	1290	1530	1680	1530	1530
23-Oct-15	1400	1690	1370	1350	1470
24-Oct-15	1650	1460	1610	1470	1660
25-Oct-15	1510	1020	1510	1620	1630
26-Oct-15	1560	1860	1770	1420	1310
27-Oct-15	1650	1360	1230	1050	1550
30-Oct-15	1360	1530	1710	1370	1200
31-Oct-15	1100	1600	1290	1160	1780
01-Nov-15	1560	1580	1380	1580	1700
02-Nov-15	1640	1780	1620	1410	1200
03-Nov-15	1500	1510	1490	1540	1450
06-Nov-15	1090	1290	1390	1730	1590
07-Nov-15	1270	1250	1460	1490	1230
08-Nov-15	1490	1410	1670	1250	1710
09-Nov-15	1850	1580	1400	1420	1130
10-Nov-15	1630	1390	1440	1580	1490
13-Nov-15	1540	1370	1500	2090	1440
14-Nov-15	890	1510	1600	1800	1300
15-Nov-15	1490	1710	1470	1770	1330
16-Nov-15	1370	1490	2030	1340	1680
17-Nov-15	1240	1470	1270	1530	1340
20-Nov-15	1360	1480	1530	1500	1400
21-Nov-15	1620	1160	1410	1490	1480
22-Nov-15	1500	1600	1290	1150	1370
23-Nov-15	1550	1570	1380	1420	1730
24-Nov-15	1610	1730	1590	1380	1160
27-Nov-15	1320	1330	1300	1370	1180
28-Nov-15	1880	1250	1360	1530	1110
29-Nov-15	1210	1190	1430	1310	1270
30-Nov-15	1350	1200	1390	1710	1530
01-Dec-15	1470	1450	1180	1700	1600
04-Dec-15	1350	1160	1720	1280	1700
05-Dec-15	1410	960	2050	1640	1460
06-Dec-15	1640	1380	1470	1600	1590
07-Dec-15	1350	1550	1330	1590	1580
08-Dec-15	1040	1800	1610	1580	1860
