Date	P5110	P7417	P3254	P2913
3-Apr-14	1960	2590	2890	2590
4-Apr-14	2530	2360	2830	2760
5-Apr-14	3760	2920	3280	3850
6-Apr-14	3380	2160	2660	2680
7-Apr-14	3330	3420	2080	2780
10-Apr-14	2270	3060	1940	2950
11-Apr-14	3140	2250	2490	2150
12-Apr-14	3030	2890	2910	2870
13-Apr-14	3000	2620	2440	2630
14-Apr-14	1720	2750	2380	2790
17-Apr-14	2880	2950	2740	1610
18-Apr-14	2790	2210	3240	3080
19-Apr-14	2770	3530	2460	2150
20-Apr-14	2580	2830	2390	2380
21-Apr-14	1650	3040	2410	2970
24-Apr-14	3520	2320	3260	2280
25-Apr-14	3450	1550	2710	2410
26-Apr-14	2330	2100	2660	2580
27-Apr-14	3210	2390	3020	3230
28-Apr-14	3080	1320	1940	2510
1-May-14	3060	3100	3650	2200
2-May-14	1920	2860	3430	2420
3-May-14	2930	1860	3460	3010
4-May-14	2500	2720	2730	2690
5-May-14	2810	2440	2220	2450
8-May-14	3310	2160	2120	2620
9-May-14	2710	2770	2570	3280
10-May-14	2230	1750	3000	2540
11-May-14	2600	3150	2530	2640
12-May-14	2990	3390	2470	2800
15-May-14	2490	1970	2820	1710
16-May-14	950	2750	2250	2720
17-May-14	2360	2480	3170	2480
18-May-14	2760	2610	3090	3000
19-May-14	2210	2810	1910	3350
22-May-14	3180	1890	2550	2910
23-May-14	1990	3200	1690	2670
24-May-14	2540	3490	3720	2830
25-May-14	3910	2050	2370	1880
26-May-14	2900	3180	3200	3140
29-May-14	3360	2510	2680	2860
30-May-14	2290	2640	2630	3040
31-May-14	3160	3310	3000	2290
1-Jun-14	2700	2520	1890	2970
2-Jun-14	3040	2170	2950	3090
5-Jun-14	1870	3740	2890	3370
6-Jun-14	2570	2570	3420	2020
7-Jun-14	2480	3260	2360	3220
8-Jun-14	2460	2900	2190	2910
9-Jun-14	3280	3050	2090	3100
