Date	P5110	P7417	P3254	P2913
25-Jan-14	2330	3380	2110	2340
26-Jan-14	2200	2550	2980	3980
27-Jan-14	2160	2220	2510	3130
28-Jan-14	2970	2400	2450	3460
31-Jan-14	1910	2610	2800	2550
1-Feb-14	3830	3330	3360	3270
2-Feb-14	3650	2940	3140	3530
3-Feb-14	2390	3100	3070	2000
4-Feb-14	3300	3470	3080	2380
7-Feb-14	3150	2580	2530	1680
8-Feb-14	3120	2270	1530	3180
9-Feb-14	2060	2430	3620	3580
10-Feb-14	3260	3000	2600	1970
11-Feb-14	2110	2720	1930	2180
14-Feb-14	2600	2850	1670	2410
15-Feb-14	1780	3070	2430	3000
16-Feb-14	2960	2350	3300	2310
17-Feb-14	3510	1730	2730	1760
18-Feb-14	2360	2130	2680	2600
21-Feb-14	3240	2410	3050	2830
22-Feb-14	2740	3040	2000	2530
23-Feb-14	3080	2750	2990	2230
24-Feb-14	1980	2880	2930	2440
25-Feb-14	2950	3110	3530	3030
28-Feb-14	2520	2740	2750	2710
1-Mar-03	2830	1890	2250	2470
1-Mar-14	3350	2190	2160	2640
2-Mar-14	2730	2790	2590	3320
3-Mar-14	2250	1840	3020	2560
6-Mar-14	2620	3180	2550	2660
7-Mar-14	3010	2920	2490	2820
8-Mar-14	2010	2020	2840	3080
9-Mar-14	1620	2770	2940	2420
10-Mar-14	3040	2050	2820	2060
13-Mar-14	2460	2280	2760	2330
14-Mar-14	2910	2510	2770	2920
15-Mar-14	2820	3160	2180	2620
16-Mar-14	2800	2840	3100	2360
17-Mar-14	2170	2980	3030	2540
20-Mar-14	2690	3250	1690	3150
21-Mar-14	2610	2490	2500	2460
22-Mar-14	2590	2120	2370	2560
23-Mar-14	2980	2320	2300	2720
24-Mar-14	2470	2540	2310	2960
27-Mar-14	2370	3210	3130	2650
28-Mar-14	2350	2870	2640	2400
29-Mar-14	2750	3020	2580	2570
30-Mar-14	2190	2200	2930	3210
31-Mar-14	2020	2860	1380	2830
